No.52, R2: 0.776454, MSE: 0.070057, MAE: 0.220628, EV: 0.779883 {'colsample_bytree': 0.6891932395891045, 'gamma': 0.3157694425850178, 'learning_rate': 0.48423368395686855, 'max_depth': 6.0, 'min_child_weight': 1.4271647871668212, 'n_estimators': 187.0, 'subsample': 0.7224063687074402}
No.53, R2: 0.801241, MSE: 0.062289, MAE: 0.202482, EV: 0.802448 {'colsample_bytree': 0.693037031956793, 'gamma': 0.3178112078144401, 'learning_rate': 0.47713802365203606, 'max_depth': 7.0, 'min_child_weight': 1.4289906037906641, 'n_estimators': 188.0, 'subsample': 0.7416952343186322}
No.54, R2: 0.784995, MSE: 0.067380, MAE: 0.221002, EV: 0.785415 {'colsample_bytree': 0.6877853416866682, 'gamma': 0.32623502812209565, 'learning_rate': 0.4833268809404623, 'max_depth': 7.0, 'min_child_weight': 1.4302137495043301, 'n_estimators': 191.0, 'subsample': 0.7200811914792842}
No.55, R2: 0.746557, MSE: 0.079426, MAE: 0.232262, EV: 0.749462 {'colsample_bytree': 0.697241319610973, 'gamma': 0.32446086444639105, 'learning_rate': 0.4794668739137185, 'max_depth': 7.0, 'min_child_weight': 1.4330370596289008, 'n_estimators': 185.0, 'subsample': 0.732381020180563}
No.56, R2: 0.591839, MSE: 0.127913, MAE: 0.284951, EV: 0.619703 {'colsample_bytree': 0.6952355030253413, 'gamma': 0.31428804191056336, 'learning_rate': 0.4812921436164533, 'max_depth': 8.0, 'min_child_weight': 1.4344375499119588, 'n_estimators': 190.0, 'subsample': 0.7344449985207782}
No.57, R2: 0.656400, MSE: 0.107680, MAE: 0.268230, EV: 0.698565 {'colsample_bytree': 0.6903011021696149, 'gamma': 0.3025376732061734, 'learning_rate': 0.4893373386361903, 'max_depth': 6.0, 'min_child_weight': 1.4246012129594439, 'n_estimators': 193.0, 'subsample': 0.7406518116092405}
No.58, R2: 0.642528, MSE: 0.112028, MAE: 0.273715, EV: 0.642932 {'colsample_bytree': 0.6999338236764878, 'gamma': 0.32777672846863876, 'learning_rate': 0.4872675334252336, 'max_depth': 8.0, 'min_child_weight': 1.4226299943571632, 'n_estimators': 195.0, 'subsample': 0.7238890120753745}
No.59, R2: 0.717508, MSE: 0.088530, MAE: 0.253274, EV: 0.719227 {'colsample_bytree': 0.6860371358428581, 'gamma': 0.32150523665950365, 'learning_rate': 0.4861560146094204, 'max_depth': 7.0, 'min_child_weight': 1.4259921083337905, 'n_estimators': 187.0, 'subsample': 0.7256965044641056}
No.60, R2: 0.821045, MSE: 0.056083, MAE: 0.203967, EV: 0.821549 {'colsample_bytree': 0.6953575280053402, 'gamma': 0.3189451841513229, 'learning_rate': 0.4782674073805929, 'max_depth': 7.0, 'min_child_weight': 1.4354296087071394, 'n_estimators': 184.0, 'subsample': 0.7282154666634933}
No.61, R2: 0.762790, MSE: 0.074339, MAE: 0.222750, EV: 0.762880 {'colsample_bytree': 0.6912458479768853, 'gamma': 0.32263748218859334, 'learning_rate': 0.48229251953366503, 'max_depth': 6.0, 'min_child_weight': 1.431800523938075, 'n_estimators': 197.0, 'subsample': 0.7298358410442924}
No.62, R2: 0.670934, MSE: 0.103126, MAE: 0.275556, EV: 0.671324 {'colsample_bytree': 0.6936345832086239, 'gamma': 0.3260318626179835, 'learning_rate': 0.48071662173580165, 'max_depth': 7.0, 'min_child_weight': 1.429756468559891, 'n_estimators': 189.0, 'subsample': 0.7374472592778684}
No.63, R2: 0.704980, MSE: 0.092456, MAE: 0.237784, EV: 0.720899 {'colsample_bytree': 0.6886608044743303, 'gamma': 0.32381137728489856, 'learning_rate': 0.488868814438326, 'max_depth': 8.0, 'min_child_weight': 1.4225692417398843, 'n_estimators': 181.0, 'subsample': 0.7267305137564332}
